instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,131072,45795,39328,19634,13196,13119,1634,37694,781,18853,7,13189,43280,35,0.065660643
1,RedBlackBST,131072,45795,39328,19634,13196,13119,1634,37694,642,18992,10,13186,43280,20,0.068558525
2,BST,131072,45559,39507,19714,13103,13189,1594,37913,717,18997,3,13100,43177,34,0.06580511
2,RedBlackBST,131072,45559,39507,19714,13103,13189,1594,37913,605,19109,6,13097,43177,20,0.06243774
3,BST,131072,45739,39369,19565,13084,13315,1686,37683,734,18831,4,13080,43249,36,0.059692454
3,RedBlackBST,131072,45739,39369,19565,13084,13315,1686,37683,614,18951,6,13078,43249,21,0.063888564
4,BST,131072,45872,39341,19465,13303,13091,1627,37714,758,18707,2,13301,43419,38,0.066981692
4,RedBlackBST,131072,45872,39341,19465,13303,13091,1627,37714,651,18814,5,13298,43419,21,0.096602202
5,BST,131072,45742,39553,19609,12943,13225,1689,37864,747,18862,3,12940,43232,34,0.094550625
5,RedBlackBST,131072,45742,39553,19609,12943,13225,1689,37864,627,18982,9,12934,43232,20,0.061039312
6,BST,131072,45889,39462,19534,12984,13203,1613,37849,715,18819,2,12982,43412,34,0.063689111
6,RedBlackBST,131072,45889,39462,19534,12984,13203,1613,37849,611,18923,6,12978,43412,21,0.060650704
7,BST,131072,45841,39393,19579,12984,13275,1654,37739,773,18806,3,12981,43361,35,0.059418665
7,RedBlackBST,131072,45841,39393,19579,12984,13275,1654,37739,652,18927,7,12977,43361,20,0.063152326
8,BST,131072,45825,38778,19786,13336,13347,1662,37116,763,19023,6,13330,43302,39,0.067099031
8,RedBlackBST,131072,45825,38778,19786,13336,13347,1662,37116,625,19161,9,13327,43302,20,0.058339865
9,BST,131072,45829,39452,19589,13126,13076,1657,37795,737,18852,11,13115,43406,37,0.061939092
9,RedBlackBST,131072,45829,39452,19589,13126,13076,1657,37795,618,18971,14,13112,43406,20,0.060188249
10,BST,131072,45897,39128,19526,13220,13301,1690,37438,703,18823,7,13213,43440,41,0.063982365
10,RedBlackBST,131072,45897,39128,19526,13220,13301,1690,37438,600,18926,15,13205,43440,21,0.060546938
11,BST,131072,45794,39174,19924,13131,13049,1626,37548,755,19169,5,13126,43338,36,0.064546434
11,RedBlackBST,131072,45794,39174,19924,13131,13049,1626,37548,633,19291,9,13122,43338,20,0.061954578
12,BST,131072,46196,38881,19871,13100,13024,1677,37204,727,19144,3,13097,43691,36,0.064770919
12,RedBlackBST,131072,46196,38881,19871,13100,13024,1677,37204,607,19264,7,13093,43691,20,0.060892435
13,BST,131072,45791,39568,19633,13052,13028,1658,37910,729,18904,3,13049,43276,35,0.065641582
13,RedBlackBST,131072,45791,39568,19633,13052,13028,1658,37910,607,19026,4,13048,43276,21,0.057298581
14,BST,131072,45709,39352,19534,13325,13152,1644,37708,773,18761,4,13321,43142,37,0.069229854
14,RedBlackBST,131072,45709,39352,19534,13325,13152,1644,37708,648,18886,7,13318,43142,21,0.058969078
15,BST,131072,46181,39316,19674,12823,13078,1672,37644,785,18889,6,12817,43682,37,0.062882851
15,RedBlackBST,131072,46181,39316,19674,12823,13078,1672,37644,670,19004,9,12814,43682,20,0.05799818
16,BST,131072,46003,39314,19561,13074,13120,1616,37698,763,18798,2,13072,43470,37,0.064224558
16,RedBlackBST,131072,46003,39314,19561,13074,13120,1616,37698,631,18930,13,13061,43470,20,0.060177527
17,BST,131072,45910,39366,19918,12928,12950,1604,37762,803,19115,6,12922,43365,37,0.061979655
17,RedBlackBST,131072,45910,39366,19918,12928,12950,1604,37762,671,19247,8,12920,43365,21,0.056732346
