instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,524288,183690,157161,78626,52593,52218,6659,150502,3048,75578,17,52576,173697,40,0.471837078
1,RedBlackBST,524288,183690,157161,78626,52593,52218,6659,150502,2599,76027,37,52556,173697,23,0.419444548
2,BST,524288,184060,157185,78288,52008,52747,6695,150490,3026,75262,14,51994,174016,45,0.481423468
2,RedBlackBST,524288,184060,157185,78288,52008,52747,6695,150490,2524,75764,33,51975,174016,24,0.435076206
3,BST,524288,183559,157074,78820,52617,52218,6675,150399,3105,75715,23,52594,173579,44,0.465612069
3,RedBlackBST,524288,183559,157074,78820,52617,52218,6675,150399,2625,76195,41,52576,173579,23,0.427966168
4,BST,524288,183210,157279,78911,52518,52370,6588,150691,2909,76002,9,52509,173311,42,0.449309234
4,RedBlackBST,524288,183210,157279,78911,52518,52370,6588,150691,2432,76479,35,52483,173311,24,0.438111754
5,BST,524288,182803,157668,78731,52461,52625,6496,151172,3042,75689,14,52447,172922,41,0.455023269
5,RedBlackBST,524288,182803,157668,78731,52461,52625,6496,151172,2575,76156,40,52421,172922,22,0.432676633
6,BST,524288,183675,157156,78455,52178,52824,6605,150551,2921,75534,16,52162,173566,42,0.444581994
6,RedBlackBST,524288,183675,157156,78455,52178,52824,6605,150551,2468,75987,38,52140,173566,24,0.420365237
7,BST,524288,183565,157290,78688,52599,52146,6580,150710,3027,75661,16,52583,173503,40,0.441800713
7,RedBlackBST,524288,183565,157290,78688,52599,52146,6580,150710,2522,76166,35,52564,173503,24,0.487463303
8,BST,524288,183285,157585,78686,52559,52173,6606,150979,2939,75747,7,52552,173485,41,0.410809681
8,RedBlackBST,524288,183285,157585,78686,52559,52173,6606,150979,2464,76222,26,52533,173485,23,0.393552413
9,BST,524288,183904,157164,78705,52393,52122,6607,150557,2905,75800,16,52377,173992,45,0.434889443
9,RedBlackBST,524288,183904,157164,78705,52393,52122,6607,150557,2437,76268,31,52362,173992,23,0.409499454
10,BST,524288,183636,157236,78635,52472,52309,6584,150652,3044,75591,13,52459,173786,38,0.438747899
10,RedBlackBST,524288,183636,157236,78635,52472,52309,6584,150652,2571,76064,32,52440,173786,23,0.42077501
11,BST,524288,182984,157643,78759,52578,52324,6653,150990,2970,75789,12,52566,173013,42,0.453152373
11,RedBlackBST,524288,182984,157643,78759,52578,52324,6653,150990,2472,76287,34,52544,173013,24,0.419557489
12,BST,524288,183466,157717,77947,52425,52733,6535,151182,2916,75031,14,52411,173591,41,0.455939358
12,RedBlackBST,524288,183466,157717,77947,52425,52733,6535,151182,2461,75486,40,52385,173591,23,0.438733742
13,BST,524288,183107,157072,78581,52527,53001,6490,150582,2952,75629,9,52518,173091,42,0.47316883
13,RedBlackBST,524288,183107,157072,78581,52527,53001,6490,150582,2466,76115,32,52495,173091,23,0.426264902
14,BST,524288,183937,157455,78372,52306,52218,6657,150798,3028,75344,19,52287,173962,40,0.461504283
14,RedBlackBST,524288,183937,157455,78372,52306,52218,6657,150798,2562,75810,43,52263,173962,23,0.446795835
15,BST,524288,183428,157229,78778,52476,52377,6789,150440,2979,75799,10,52466,173514,43,0.474392194
15,RedBlackBST,524288,183428,157229,78778,52476,52377,6789,150440,2478,76300,28,52448,173514,24,0.420883578
16,BST,524288,182982,157541,78854,52497,52414,6648,150893,3027,75827,13,52484,173039,40,0.458930347
16,RedBlackBST,524288,182982,157541,78854,52497,52414,6648,150893,2579,76275,38,52459,173039,24,0.449995939
17,BST,524288,183510,157562,78604,52328,52284,6644,150918,3084,75520,13,52315,173449,43,0.459006076
17,RedBlackBST,524288,183510,157562,78604,52328,52284,6644,150918,2583,76021,31,52297,173449,23,0.433063175
18,BST,524288,183175,157068,78648,52686,52711,6686,150382,2910,75738,12,52674,173164,45,0.459164307
18,RedBlackBST,524288,183175,157068,78648,52686,52711,6686,150382,2461,76187,30,52656,173164,25,0.421823328
19,BST,524288,183557,157206,78474,52251,52800,6578,150628,3055,75419,10,52241,173577,40,0.45699614
19,RedBlackBST,524288,183557,157206,78474,52251,52800,6578,150628,2570,75904,33,52218,173577,23,0.458798477
20,BST,524288,183443,157590,78614,52389,52252,6540,151050,2985,75629,12,52377,173749,38,0.447140267
20,RedBlackBST,524288,183443,157590,78614,52389,52252,6540,151050,2535,76079,28,52361,173749,23,0.437947197
21,BST,524288,183384,157106,78700,52827,52271,6549,150557,2977,75723,14,52813,173334,41,0.46886358
21,RedBlackBST,524288,183384,157106,78700,52827,52271,6549,150557,2508,76192,28,52799,173334,23,0.440733218
22,BST,524288,183690,156790,78718,52484,52606,6549,150241,3040,75678,16,52468,173714,41,0.454293633
22,RedBlackBST,524288,183690,156790,78718,52484,52606,6549,150241,2554,76164,35,52449,173714,25,0.425587187
23,BST,524288,183338,157151,78784,52598,52417,6634,150517,2900,75884,17,52581,173498,42,0.468277439
23,RedBlackBST,524288,183338,157151,78784,52598,52417,6634,150517,2449,76335,31,52567,173498,23,0.436306489
24,BST,524288,183776,156568,78880,52656,52408,6515,150053,2976,75904,11,52645,173892,47,0.45679505
24,RedBlackBST,524288,183776,156568,78880,52656,52408,6515,150053,2497,76383,17,52639,173892,25,0.476786184
25,BST,524288,183510,157469,78742,52182,52385,6853,150616,3033,75709,12,52170,173618,44,0.459056544
25,RedBlackBST,524288,183510,157469,78742,52182,52385,6853,150616,2578,76164,30,52152,173618,24,0.429512157
