instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,32768,11526,9776,5015,3224,3227,413,9363,186,4829,1,3223,10867,28,0.012018381
1,RedBlackBST,32768,11526,9776,5015,3224,3227,413,9363,159,4856,3,3221,10867,17,0.011648372
2,BST,32768,11377,9831,4871,3339,3350,434,9397,189,4682,0,3339,10780,30,0.012322866
2,RedBlackBST,32768,11377,9831,4871,3339,3350,434,9397,153,4718,1,3338,10780,17,0.011684246
3,BST,32768,11470,9824,4880,3289,3305,412,9412,163,4717,1,3288,10841,28,0.01408289
3,RedBlackBST,32768,11470,9824,4880,3289,3305,412,9412,136,4744,1,3288,10841,18,0.017713814
4,BST,32768,11370,9855,4931,3308,3304,430,9425,206,4725,3,3305,10742,29,0.019145171
4,RedBlackBST,32768,11370,9855,4931,3308,3304,430,9425,166,4765,4,3304,10742,18,0.0166185
5,BST,32768,11247,10111,4797,3296,3317,443,9668,176,4621,0,3296,10650,33,0.020235597
5,RedBlackBST,32768,11247,10111,4797,3296,3317,443,9668,144,4653,3,3293,10650,18,0.017712502
6,BST,32768,11475,9810,4968,3268,3247,436,9374,187,4781,1,3267,10816,29,0.017531158
6,RedBlackBST,32768,11475,9810,4968,3268,3247,436,9374,158,4810,3,3265,10816,18,0.017900802
7,BST,32768,11504,9903,4846,3179,3336,432,9471,193,4653,1,3178,10847,28,0.017389039
7,RedBlackBST,32768,11504,9903,4846,3179,3336,432,9471,165,4681,2,3177,10847,17,0.024256705
8,BST,32768,11375,9719,4974,3326,3374,407,9312,178,4796,0,3326,10732,31,0.019398158
8,RedBlackBST,32768,11375,9719,4974,3326,3374,407,9312,150,4824,2,3324,10732,18,0.017420008
9,BST,32768,11505,9784,4879,3318,3282,417,9367,175,4704,0,3318,10881,33,0.019631197
9,RedBlackBST,32768,11505,9784,4879,3318,3282,417,9367,144,4735,2,3316,10881,18,0.022372561
10,BST,32768,11553,9791,4926,3281,3217,380,9411,172,4754,0,3281,10927,29,0.021753104
10,RedBlackBST,32768,11553,9791,4926,3281,3217,380,9411,150,4776,1,3280,10927,18,0.020162527
11,BST,32768,11366,9870,4847,3321,3364,439,9431,170,4677,0,3321,10714,30,0.020421663
11,RedBlackBST,32768,11366,9870,4847,3321,3364,439,9431,139,4708,0,3321,10714,19,0.019668658
12,BST,32768,11419,9781,4947,3360,3261,397,9384,201,4746,0,3360,10820,33,0.020375014
12,RedBlackBST,32768,11419,9781,4947,3360,3261,397,9384,165,4782,3,3357,10820,19,0.019365317
13,BST,32768,11458,9943,4845,3252,3270,457,9486,167,4678,0,3252,10862,29,0.020726904
13,RedBlackBST,32768,11458,9943,4845,3252,3270,457,9486,152,4693,0,3252,10862,18,0.019841137
14,BST,32768,11595,9913,4820,3283,3157,433,9480,194,4626,2,3281,10988,29,0.018824601
14,RedBlackBST,32768,11595,9913,4820,3283,3157,433,9480,167,4653,4,3279,10988,18,0.018916448
15,BST,32768,11543,9847,4861,3256,3261,413,9434,179,4682,0,3256,10946,34,0.027573421
15,RedBlackBST,32768,11543,9847,4861,3256,3261,413,9434,149,4712,1,3255,10946,17,0.020088647
16,BST,32768,11484,9800,4861,3322,3301,399,9401,187,4674,2,3320,10869,30,0.019708962
16,RedBlackBST,32768,11484,9800,4861,3322,3301,399,9401,154,4707,2,3320,10869,18,0.018904061
17,BST,32768,11366,9907,4926,3296,3273,388,9519,175,4751,1,3295,10763,31,0.021450951
17,RedBlackBST,32768,11366,9907,4926,3296,3273,388,9519,148,4778,2,3294,10763,18,0.019019856
18,BST,32768,11513,9813,4854,3304,3284,393,9420,181,4673,0,3304,10915,31,0.019040085
18,RedBlackBST,32768,11513,9813,4854,3304,3284,393,9420,156,4698,2,3302,10915,17,0.017897648
19,BST,32768,11473,9852,4891,3266,3286,416,9436,203,4688,0,3266,10895,34,0.018532535
19,RedBlackBST,32768,11473,9852,4891,3266,3286,416,9436,169,4722,0,3266,10895,17,0.017411344
20,BST,32768,11465,9812,4901,3300,3290,408,9404,186,4715,2,3298,10882,26,0.018041016
20,RedBlackBST,32768,11465,9812,4901,3300,3290,408,9404,158,4743,3,3297,10882,18,0.016909117
21,BST,32768,11473,9909,4883,3242,3261,387,9522,221,4662,1,3241,10880,31,0.019529419
21,RedBlackBST,32768,11473,9909,4883,3242,3261,387,9522,183,4700,5,3237,10880,17,0.01867244
22,BST,32768,11357,9899,4950,3161,3401,387,9512,197,4753,2,3159,10696,28,0.019244563
22,RedBlackBST,32768,11357,9899,4950,3161,3401,387,9512,159,4791,2,3159,10696,17,0.017491917
23,BST,32768,11580,9786,4902,3261,3239,423,9363,172,4730,1,3260,10947,31,0.028870371
23,RedBlackBST,32768,11580,9786,4902,3261,3239,423,9363,142,4760,3,3258,10947,18,0.018789441
24,BST,32768,11413,9878,4858,3275,3344,399,9479,191,4667,1,3274,10779,30,0.022095804
24,RedBlackBST,32768,11413,9878,4858,3275,3344,399,9479,158,4700,1,3274,10779,18,0.021012745
25,BST,32768,11330,9980,4926,3266,3266,438,9542,195,4731,0,3266,10724,31,0.02155094
25,RedBlackBST,32768,11330,9980,4926,3266,3266,438,9542,168,4758,3,3263,10724,17,0.020812915
26,BST,32768,11410,9843,4945,3301,3269,402,9441,204,4741,0,3301,10796,33,0.021222975
26,RedBlackBST,32768,11410,9843,4945,3301,3269,402,9441,175,4770,1,3300,10796,18,0.019397273
27,BST,32768,11422,10011,4765,3245,3325,401,9610,189,4576,1,3244,10760,31,0.020854601
27,RedBlackBST,32768,11422,10011,4765,3245,3325,401,9610,164,4601,2,3243,10760,18,0.018913233
28,BST,32768,11541,9709,4868,3308,3342,413,9296,190,4678,0,3308,10885,28,0.022443323
28,RedBlackBST,32768,11541,9709,4868,3308,3342,413,9296,155,4713,3,3305,10885,18,0.019942897
29,BST,32768,11476,9810,4965,3155,3362,432,9378,199,4766,1,3154,10853,33,0.019219321
29,RedBlackBST,32768,11476,9810,4965,3155,3362,432,9378,160,4805,2,3153,10853,18,0.018107512
30,BST,32768,11367,9935,4894,3283,3289,412,9523,183,4711,1,3282,10725,29,0.019259586
30,RedBlackBST,32768,11367,9935,4894,3283,3289,412,9523,156,4738,2,3281,10725,19,0.022554966
