instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
11,BST,16384,5721,4988,2480,1599,1596,212,4776,107,2373,0,1599,5399,25,0.008117108
11,RedBlackBST,16384,5721,4988,2480,1599,1596,212,4776,94,2386,1,1598,5399,16,0.007749261
12,BST,16384,5688,4921,2474,1661,1640,247,4674,100,2374,0,1661,5373,28,0.008883404
12,RedBlackBST,16384,5688,4921,2474,1661,1640,247,4674,79,2395,0,1661,5373,15,0.008819498
13,BST,16384,5765,4909,2465,1601,1644,225,4684,91,2374,2,1599,5450,28,0.008271547
13,RedBlackBST,16384,5765,4909,2465,1601,1644,225,4684,71,2394,2,1599,5450,17,0.008421807
14,BST,16384,5769,4925,2380,1694,1616,219,4706,94,2286,0,1694,5447,33,0.00891901
14,RedBlackBST,16384,5769,4925,2380,1694,1616,219,4706,69,2311,0,1694,5447,16,0.00847503
15,BST,16384,5582,4977,2497,1658,1670,211,4766,92,2405,1,1657,5283,30,0.008403551
15,RedBlackBST,16384,5582,4977,2497,1658,1670,211,4766,77,2420,3,1655,5283,16,0.010728178
16,BST,16384,5829,4915,2402,1643,1595,228,4687,94,2308,0,1643,5491,27,0.010090546
16,RedBlackBST,16384,5829,4915,2402,1643,1595,228,4687,82,2320,0,1643,5491,16,0.004981642
17,BST,16384,5716,4959,2429,1623,1657,201,4758,108,2321,0,1623,5427,29,0.005004019
17,RedBlackBST,16384,5716,4959,2429,1623,1657,201,4758,86,2343,1,1622,5427,16,0.004892564
18,BST,16384,5770,5002,2480,1561,1571,215,4787,91,2389,0,1561,5473,26,0.004945939
18,RedBlackBST,16384,5770,5002,2480,1561,1571,215,4787,79,2401,1,1560,5473,17,0.005603678
19,BST,16384,5759,4815,2440,1677,1693,193,4622,86,2354,0,1677,5440,26,0.008262114
19,RedBlackBST,16384,5759,4815,2440,1677,1693,193,4622,75,2365,0,1677,5440,16,0.007816697
20,BST,16384,5664,4880,2490,1650,1700,205,4675,107,2383,1,1649,5359,25,0.008061986
20,RedBlackBST,16384,5664,4880,2490,1650,1700,205,4675,86,2404,3,1647,5359,17,0.009036826
21,BST,16384,5844,4861,2454,1600,1625,218,4643,89,2365,0,1600,5539,27,0.008517169
21,RedBlackBST,16384,5844,4861,2454,1600,1625,218,4643,74,2380,2,1598,5539,16,0.008478517
22,BST,16384,5738,4968,2455,1623,1600,214,4754,92,2363,0,1623,5439,27,0.008272258
22,RedBlackBST,16384,5738,4968,2455,1623,1600,214,4754,78,2377,2,1621,5439,17,0.007824142
23,BST,16384,5627,4954,2427,1741,1635,206,4748,95,2332,1,1740,5316,27,0.008161028
23,RedBlackBST,16384,5627,4954,2427,1741,1635,206,4748,81,2346,2,1739,5316,16,0.00785359
24,BST,16384,5617,5039,2498,1621,1609,217,4822,78,2420,0,1621,5320,28,0.008206753
24,RedBlackBST,16384,5617,5039,2498,1621,1609,217,4822,64,2434,0,1621,5320,17,0.00801389
25,BST,16384,5727,4914,2499,1582,1662,201,4713,89,2410,0,1582,5388,28,0.008101645
25,RedBlackBST,16384,5727,4914,2499,1582,1662,201,4713,76,2423,0,1582,5388,16,0.00832053
26,BST,16384,5591,4957,2507,1606,1723,209,4748,86,2421,1,1605,5292,25,0.008227881
26,RedBlackBST,16384,5591,4957,2507,1606,1723,209,4748,74,2433,1,1605,5292,17,0.007638705
27,BST,16384,5760,4950,2488,1613,1573,211,4739,89,2399,0,1613,5426,27,0.008082382
27,RedBlackBST,16384,5760,4950,2488,1613,1573,211,4739,78,2410,0,1613,5426,17,0.009309829
28,BST,16384,5699,4938,2480,1601,1666,202,4736,118,2362,1,1600,5405,30,0.008937418
28,RedBlackBST,16384,5699,4938,2480,1601,1666,202,4736,99,2381,1,1600,5405,16,0.008266842
29,BST,16384,5684,4934,2521,1648,1597,206,4728,99,2422,1,1647,5362,28,0.010016419
29,RedBlackBST,16384,5684,4934,2521,1648,1597,206,4728,84,2437,3,1645,5362,16,0.009781237
30,BST,16384,5685,4908,2481,1690,1620,222,4686,85,2396,0,1690,5371,31,0.005002934
30,RedBlackBST,16384,5685,4908,2481,1690,1620,222,4686,72,2409,0,1690,5371,16,0.00485742
