instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,262144,91990,78735,39180,25971,26268,3284,75451,1488,37692,9,25962,87063,39,0.157035236
1,RedBlackBST,262144,91990,78735,39180,25971,26268,3284,75451,1255,37925,19,25952,87063,22,0.17888181
2,BST,262144,91681,78970,39536,26012,25945,3408,75562,1482,38054,6,26006,86728,37,0.182832075
2,RedBlackBST,262144,91681,78970,39536,26012,25945,3408,75562,1283,38253,22,25990,86728,22,0.154789064
3,BST,262144,91830,78735,39252,26258,26069,3303,75432,1451,37801,4,26254,86892,38,0.14781475
3,RedBlackBST,262144,91830,78735,39252,26258,26069,3303,75432,1234,38018,9,26249,86892,22,0.142736318
4,BST,262144,91829,78590,38901,26368,26456,3264,75326,1492,37409,5,26363,86796,37,0.15312487
4,RedBlackBST,262144,91829,78590,38901,26368,26456,3264,75326,1250,37651,14,26354,86796,22,0.17735366
5,BST,262144,91677,78757,39245,26294,26171,3282,75475,1487,37758,8,26286,86776,36,0.144455754
5,RedBlackBST,262144,91677,78757,39245,26294,26171,3282,75475,1256,37989,21,26273,86776,22,0.146722754
6,BST,262144,92062,78303,39465,26353,25961,3256,75047,1576,37889,7,26346,87008,39,0.15096244
6,RedBlackBST,262144,92062,78303,39465,26353,25961,3256,75047,1329,38136,22,26331,87008,22,0.142592546
7,BST,262144,91348,78864,39229,26302,26401,3370,75494,1503,37726,2,26300,86520,39,0.150543852
7,RedBlackBST,262144,91348,78864,39229,26302,26401,3370,75494,1252,37977,15,26287,86520,22,0.160807025
8,BST,262144,91679,78463,39261,26453,26288,3312,75151,1467,37794,8,26445,86781,45,0.192065085
8,RedBlackBST,262144,91679,78463,39261,26453,26288,3312,75151,1237,38024,23,26430,86781,22,0.152501603
9,BST,262144,91661,78507,39181,26373,26422,3214,75293,1443,37738,8,26365,86690,40,0.147853853
9,RedBlackBST,262144,91661,78507,39181,26373,26422,3214,75293,1228,37953,20,26353,86690,22,0.140108944
10,BST,262144,91675,79046,39236,26085,26102,3350,75696,1475,37761,10,26075,86635,37,0.1490853
10,RedBlackBST,262144,91675,79046,39236,26085,26102,3350,75696,1239,37997,17,26068,86635,22,0.177854988
11,BST,262144,91958,78302,39224,26369,26291,3243,75059,1428,37796,10,26359,86946,38,0.157704436
11,RedBlackBST,262144,91958,78302,39224,26369,26291,3243,75059,1191,38033,19,26350,86946,21,0.186570448
12,BST,262144,91633,78805,39417,26170,26119,3395,75410,1463,37954,11,26159,86730,39,0.156281007
12,RedBlackBST,262144,91633,78805,39417,26170,26119,3395,75410,1237,38180,26,26144,86730,22,0.146450325
13,BST,262144,91435,78884,39292,26249,26284,3260,75624,1435,37857,1,26248,86489,39,0.15719737
13,RedBlackBST,262144,91435,78884,39292,26249,26284,3260,75624,1197,38095,10,26239,86489,22,0.184381684
14,BST,262144,92107,78468,39285,25986,26298,3384,75084,1535,37750,1,25985,87004,39,0.152269965
14,RedBlackBST,262144,92107,78468,39285,25986,26298,3384,75084,1293,37992,16,25970,87004,22,0.143386735
15,BST,262144,91954,78192,39454,26209,26335,3360,74832,1575,37879,6,26203,86927,39,0.177095653
15,RedBlackBST,262144,91954,78192,39454,26209,26335,3360,74832,1322,38132,12,26197,86927,22,0.165991801
16,BST,262144,91707,78578,39506,26115,26238,3282,75296,1465,38041,4,26111,86754,42,0.146536864
16,RedBlackBST,262144,91707,78578,39506,26115,26238,3282,75296,1245,38261,17,26098,86754,23,0.143045243
17,BST,262144,91996,78802,39091,26078,26177,3251,75551,1505,37586,8,26070,86978,37,0.152030447
17,RedBlackBST,262144,91996,78802,39091,26078,26177,3251,75551,1261,37830,21,26057,86978,23,0.139870038
18,BST,262144,91702,78832,39248,26343,26019,3344,75488,1492,37756,2,26341,86706,39,0.151063291
18,RedBlackBST,262144,91702,78832,39248,26343,26019,3344,75488,1218,38030,9,26334,86706,22,0.177434068
19,BST,262144,91833,78686,39380,26122,26123,3302,75384,1523,37857,6,26116,86836,40,0.157010446
19,RedBlackBST,262144,91833,78686,39380,26122,26123,3302,75384,1294,38086,15,26107,86836,21,0.143088802
20,BST,262144,91645,78595,39351,26389,26164,3341,75254,1424,37927,6,26383,86640,40,0.177388035
20,RedBlackBST,262144,91645,78595,39351,26389,26164,3341,75254,1184,38167,16,26373,86640,21,0.181126624
21,BST,262144,91682,78578,39224,26227,26433,3339,75239,1476,37748,10,26217,86628,38,0.155148281
21,RedBlackBST,262144,91682,78578,39224,26227,26433,3339,75239,1253,37971,18,26209,86628,21,0.163942083
22,BST,262144,91791,78408,39426,26470,26049,3342,75066,1464,37962,7,26463,86863,38,0.15070402
22,RedBlackBST,262144,91791,78408,39426,26470,26049,3342,75066,1240,38186,16,26454,86863,22,0.156336993
23,BST,262144,91448,79112,39257,26109,26218,3348,75764,1477,37780,4,26105,86458,40,0.154334998
23,RedBlackBST,262144,91448,79112,39257,26109,26218,3348,75764,1259,37998,12,26097,86458,22,0.16081955
24,BST,262144,91763,78422,39433,26198,26328,3310,75112,1515,37918,10,26188,86876,40,0.205970684
24,RedBlackBST,262144,91763,78422,39433,26198,26328,3310,75112,1259,38174,19,26179,86876,22,0.154612208
25,BST,262144,91979,78775,38980,26274,26136,3337,75438,1463,37517,5,26269,86970,37,0.156797536
25,RedBlackBST,262144,91979,78775,38980,26274,26136,3337,75438,1241,37739,16,26258,86970,23,0.148396641
26,BST,262144,91672,78286,39536,26298,26352,3237,75049,1474,38062,9,26289,86662,40,0.159453474
26,RedBlackBST,262144,91672,78286,39536,26298,26352,3237,75049,1251,38285,18,26280,86662,22,0.153437241
27,BST,262144,91914,79131,39065,25898,26136,3471,75660,1492,37573,8,25890,86910,39,0.154732786
27,RedBlackBST,262144,91914,79131,39065,25898,26136,3471,75660,1254,37811,18,25880,86910,22,0.148153743
28,BST,262144,91749,78860,39199,26167,26169,3260,75600,1480,37719,5,26162,86717,36,0.175728606
28,RedBlackBST,262144,91749,78860,39199,26167,26169,3260,75600,1250,37949,17,26150,86717,23,0.146977562
29,BST,262144,92221,78134,39432,26356,26001,3369,74765,1542,37890,12,26344,87244,41,0.208115522
29,RedBlackBST,262144,92221,78134,39432,26356,26001,3369,74765,1280,38152,17,26339,87244,22,0.179136505
30,BST,262144,91789,78602,39587,26093,26073,3341,75261,1486,38101,10,26083,86865,41,0.178764066
30,RedBlackBST,262144,91789,78602,39587,26093,26073,3341,75261,1229,38358,16,26077,86865,22,0.209939151
